iter	Logloss
172	0.3196758592
173	0.3186454932
174	0.3170729152
175	0.3163801819
176	0.3150488595
177	0.3136055181
178	0.3118594533
179	0.3103613148
180	0.3092916163
181	0.3080722926
182	0.3063402869
183	0.3053524643
184	0.3045469753
185	0.3032681717
186	0.3022064171
187	0.30153183
188	0.300086171
189	0.2988641423
190	0.2977928034
191	0.2969114753
192	0.2959494388
193	0.2947702742
194	0.2934720661
195	0.2923223829
196	0.2916254075
197	0.2906828326
198	0.2896114222
199	0.2883808857
200	0.2869640776
201	0.2860645539
202	0.2853401212
203	0.2845507926
204	0.2837483591
205	0.2822839677
206	0.281411165
207	0.2802037428
208	0.2795505359
209	0.2781495758
210	0.2771311418
211	0.2758961616
212	0.2748344064
213	0.2741337283
214	0.2729906444
215	0.2718752335
216	0.2713333305
217	0.2705244996
218	0.2694754418
219	0.2681428691
220	0.2675877951
221	0.2670796412
222	0.2662349558
223	0.2648422221
224	0.2639285612
225	0.2629716293
226	0.2619431301
227	0.2616022841
228	0.2604268068
229	0.2599898988
230	0.2592688944
231	0.2583748072
232	0.2577336305
233	0.2566868649
234	0.2555702418
235	0.2549721475
236	0.2539496193
237	0.252952649
238	0.2521317937
239	0.2512269386
240	0.2504052111
241	0.2493416903
242	0.2488394115
243	0.2482115899
244	0.2474431876
245	0.2466068981
246	0.2460077818
247	0.2455791136
248	0.2452238709
249	0.2446257552
250	0.2442212359
251	0.2434956819
252	0.2422925591
253	0.2416499643
254	0.2408390395
255	0.2404435311
256	0.2393520794
257	0.2389658403
258	0.2380473409
259	0.2371698622
260	0.2365130959
261	0.2355962741
262	0.2349415435
263	0.2340449707
264	0.2332671509
265	0.2322843268
266	0.2315272588
267	0.2309511757
268	0.2301090193
269	0.2289196302
270	0.22822462
271	0.2275361858
272	0.2264580822
273	0.2259776713
274	0.2253005733
275	0.2244424546
276	0.2234294357
277	0.2225364484
278	0.2214576302
279	0.2208722236
280	0.2199980563
281	0.2193234249
282	0.2189127402
283	0.2179357829
284	0.2173252132
285	0.2166645505
286	0.2160272358
287	0.2155691234
288	0.214778387
289	0.2143249661
290	0.2135641625
291	0.2130958168
292	0.2123240368
293	0.211975854
294	0.2116990308
295	0.2108588815
296	0.2102426706
297	0.2096943003
298	0.2090825313
299	0.2083994842
300	0.2075423042
301	0.2066623358
302	0.2062104721
303	0.2054236457
304	0.2049214273
305	0.2042755202
306	0.2036427196
307	0.2027508696
308	0.2022957144
309	0.2017663977
310	0.2012602691
311	0.2009585772
312	0.2004110361
313	0.1998758963
314	0.1989836008
315	0.1980585339
316	0.1975886151
317	0.1970884635
318	0.1963833019
319	0.1955900872
320	0.1952341853
321	0.1947494188
322	0.1941100671
323	0.1936852462
324	0.1931412792
325	0.1926625998
326	0.1923131143
327	0.1917803399
328	0.1911179808
329	0.1906547199
330	0.1901671202
331	0.1896102545
332	0.1889426149
333	0.188686895
334	0.1880936652
335	0.1874368721
336	0.1870875186
337	0.1864246775
338	0.1858542559
339	0.1852551496
340	0.1845846045
341	0.1843500405
342	0.1837974404
343	0.1833264253
344	0.1828859476
345	0.1824981782
346	0.1819819293
347	0.181649681
348	0.1813236443
349	0.1808369399
350	0.1802508616
351	0.180054064
352	0.1795233724
353	0.1790630861
354	0.1784384143
355	0.1779402985
356	0.1774744768
357	0.1771523259
358	0.1767007998
359	0.1761448006
360	0.1756046665
361	0.1753315967
362	0.1743322021
363	0.1739254609
364	0.173379909
365	0.1727528295
366	0.1723678761
367	0.1718261118
368	0.1715061742
369	0.1710669412
370	0.170547767
371	0.1699466663
372	0.1694935368
373	0.1689672792
374	0.1685115594
375	0.1681286208
376	0.1675831202
377	0.1671969575
378	0.1665466592
379	0.1659873743
380	0.1654690654
381	0.1651257479
382	0.1648229627
383	0.1645077327
384	0.1640137371
385	0.1634497123
386	0.1632097777
387	0.162767739
388	0.1624091077
389	0.1622973018
390	0.1619254319
391	0.1615253658
392	0.1610556785
393	0.1607250351
394	0.1605130908
395	0.1600935354
396	0.1597265397
397	0.1593147427
398	0.1589714832
399	0.1583933751
400	0.1581195027
401	0.1576590992
402	0.1574077589
403	0.1568962813
404	0.1566129914
405	0.1563181142
406	0.1558987216
407	0.1552198273
408	0.1547457297
409	0.1543613245
410	0.1538909586
411	0.1534751161
412	0.1530991382
413	0.1529315304
414	0.1527151319
415	0.1523472311
416	0.1517806205
417	0.1514857989
418	0.1510009702
419	0.1504951006
420	0.1502242498
421	0.1497685795
422	0.1494249641
423	0.1491640472
424	0.1488869152
425	0.148498614
426	0.1481853469
427	0.1478934013
428	0.1475476971
429	0.1471956209
430	0.1469122075
431	0.1466342185
432	0.1462158625
433	0.145777396
434	0.1454625453
435	0.1451779655
436	0.1448745495
437	0.1444341702
438	0.1440816685
439	0.1438569127
440	0.1436076408
441	0.1433941784
442	0.1431500519
443	0.1427144135
444	0.1424068861
445	0.142092033
446	0.1417108649
447	0.1414678328
448	0.1411295852
449	0.1409931585
450	0.1406472409
451	0.1401518551
452	0.1397411405
453	0.1393237276
454	0.1389853857
455	0.1386828995
456	0.1384079774
457	0.1381849572
458	0.137909141
459	0.1375495141
460	0.1371274473
461	0.1368517939
462	0.1365811106
463	0.1363657276
464	0.1360241926
465	0.1357024619
466	0.1350285908
467	0.1348047623
468	0.1344586744
469	0.1339888347
470	0.1336467926
471	0.1333225185
472	0.1330829029
473	0.1327114831
474	0.1325011515
475	0.1320389729
476	0.1315821835
477	0.1313508118
478	0.1311730334
479	0.1309189569
480	0.1306493621
481	0.1303467016
482	0.1299442366
483	0.1296506685
484	0.1293207895
485	0.1288806157
486	0.1286077019
487	0.1283953395
488	0.1281199604
489	0.1278379003
490	0.127448169
491	0.1273364129
492	0.1271732068
493	0.1267476754
494	0.1266181685
495	0.1262869837
496	0.1261187623
497	0.1258863642
498	0.1255224467
499	0.1254044075
500	0.1252277734
501	0.124837945
502	0.1244864609
503	0.1242201682
504	0.1239719256
505	0.1236159818
506	0.1232457113
507	0.1230085304
508	0.1226206024
509	0.1221950102
510	0.1219710299
511	0.1218342905
512	0.1214607599
513	0.1212774785
514	0.1210600655
515	0.1208311695
516	0.1204428704
517	0.1200642215
518	0.1198775132
519	0.119532659
520	0.1192626314
521	0.118978604
522	0.1187851243
523	0.1184941885
524	0.1183497916
525	0.1179931708
526	0.1178314173
527	0.1176389603
528	0.1173926641
529	0.117293057
530	0.1171686542
531	0.1168449393
532	0.1166278941
533	0.1164537919
534	0.116300134
535	0.1160053609
536	0.1158574608
537	0.1156088002
538	0.1152544999
539	0.1147924682
540	0.1146244643
541	0.1143581568
542	0.1141474108
543	0.1139961174
544	0.1137778485
545	0.1136748282
546	0.1134702299
547	0.1132306651
548	0.1129579647
549	0.1126909625
550	0.1125845965
551	0.1122156086
552	0.1120462269
553	0.1116657834
554	0.1114166078
555	0.1111103235
556	0.1107714115
557	0.1105886079
558	0.1104070284
559	0.1103058217
560	0.1099842377
561	0.1097569498
562	0.109498664
563	0.1092890342
564	0.1091048735
565	0.108845661
566	0.108446073
567	0.108259953
568	0.1081964193
569	0.1078458379
570	0.1074948441
571	0.1073504906
572	0.1071499929
573	0.1069977452
574	0.1068096156
575	0.1064904804
576	0.106200121
577	0.1059725307
578	0.1056743535
579	0.1053568017
580	0.105006968
581	0.1049320077
582	0.1047900574
583	0.1045833058
584	0.1043385769
585	0.104179287
586	0.1038389155
587	0.1035942505
588	0.1033710087
589	0.1032614934
590	0.1030863654
591	0.1029086944
592	0.1026394936
593	0.1024925793
594	0.1022438775
595	0.1019753829
596	0.1017573041
597	0.1014392996
598	0.1011645489
599	0.1009311021
600	0.1008247336
601	0.1006327613
602	0.1004446139
603	0.1000757803
604	0.09989754662
605	0.09970202252
606	0.09942546283
607	0.09924048881
608	0.09897509247
609	0.09878899266
610	0.09834662358
611	0.09816586514
612	0.09793466945
613	0.09781898906
614	0.09748985887
615	0.09723678773
616	0.09701288536
617	0.09677528873
618	0.09660199389
619	0.09641899104
620	0.0961784262
621	0.09604403029
622	0.09586748769
623	0.09551943362
624	0.09518709908
625	0.09508074964
626	0.09494297266
627	0.0946714508
628	0.09431862275
629	0.09412279184
630	0.09398372357
631	0.09390218129
632	0.0936261632
633	0.093533604
634	0.09343403017
635	0.09327680811
636	0.09311630915
637	0.09285893068
638	0.09277273402
639	0.09258508066
640	0.09242784912
641	0.09232204412
642	0.09217004031
643	0.09186139991
644	0.09158689951
645	0.09132401849
646	0.09117083619
647	0.09106154402
648	0.09097758149
649	0.09082385793
650	0.09065159818
651	0.09045848305
652	0.09026208128
653	0.0900784271
654	0.08999690806
655	0.08979003732
656	0.08963488162
657	0.08939247623
658	0.08934175258
659	0.08914073666
660	0.08894164999
661	0.08869865373
662	0.08847724433
663	0.08813223034
664	0.08799090634
665	0.08790945028
666	0.08782386079
667	0.08764930889
668	0.08755879795
669	0.08742252762
670	0.08714696661
671	0.08701815387
672	0.08692530071
673	0.08679754133
674	0.0866412731
675	0.08644776886
676	0.08634424075
677	0.0861878258
678	0.08594481021
679	0.08572723875
680	0.08559179256
681	0.08537929162
682	0.08526389807
683	0.08514459237
684	0.08504993041
685	0.08494176949
686	0.08466805334
687	0.08451495161
688	0.08428862914
689	0.08407115176
690	0.08388249358
691	0.08380923301
692	0.08376483416
693	0.08351375808
694	0.08334795882
695	0.08324218844
696	0.0830940785
697	0.0829543372
698	0.08272981713
699	0.08252624094
700	0.0824381806
701	0.08236285438
702	0.08224888081
703	0.0820747523
704	0.0819091324
705	0.08180849632
706	0.08166756173
707	0.0815437836
708	0.08135605037
709	0.08122381861
710	0.08104701708
711	0.08084094847
712	0.08067540318
713	0.08046463773
714	0.08041763763
715	0.08026492114
716	0.0800955157
717	0.07999757548
718	0.07981269394
719	0.07958705232
720	0.07950398788
721	0.07934338416
722	0.0792141597
723	0.07904545392
724	0.07891983425
725	0.07884721657
726	0.07869423966
727	0.07859010786
728	0.07850383028
729	0.07833838125
730	0.0780649893
731	0.07792811116
732	0.07775342574
733	0.07768791934
734	0.0775878269
735	0.07744192272
736	0.07731502364
737	0.07720922222
738	0.07704431867
739	0.07690591107
740	0.07681587925
741	0.07673978239
742	0.07665119653
743	0.07653035343
744	0.07637834643
745	0.07616704901
746	0.07602172941
747	0.07588031357
748	0.07577020715
749	0.07574822595
750	0.07562900394
751	0.07549272627
752	0.07536326433
753	0.07524372225
754	0.07509953961
755	0.07495093053
756	0.07484399185
757	0.07481402899
758	0.07463927165
759	0.07447878649
760	0.0742599301
761	0.07413742388
762	0.07400663897
763	0.07376277089
764	0.07371908406
765	0.0735117209
766	0.07343761116
767	0.07326480364
768	0.0731541654
769	0.07299165765
770	0.07285671006
771	0.07274071708
772	0.07265729869
773	0.07259263545
774	0.0724995328
775	0.07236116618
776	0.07215388119
777	0.07206756423
778	0.07191288158
779	0.07179768637
780	0.0717326431
781	0.07164416467
782	0.07156277984
783	0.07139124691
784	0.07128140534
785	0.07121022433
786	0.07106298586
787	0.07088866457
788	0.07072476111
789	0.07062803385
790	0.07048386355
791	0.07032427867
792	0.07024501979
793	0.07013922982
794	0.06999431431
795	0.06984105905
796	0.069777012
797	0.06964473784
798	0.06959695414
799	0.06949018839
800	0.06941006099
801	0.06931358804
802	0.06919712464
803	0.06904280566
804	0.06895756957
805	0.06885282005
806	0.06870362957
807	0.06860326106
808	0.06845045559
809	0.06830656469
810	0.06824898042
811	0.06813036568
812	0.06805518717
813	0.06792182734
814	0.06768662853
815	0.06763811248
816	0.06750918947
817	0.06743406927
818	0.06733724398
819	0.06727500839
820	0.06715967054
821	0.06703637953
822	0.06693028832
823	0.06682546072
824	0.06675577146
825	0.06668965355
826	0.06659967234
827	0.06649562627
828	0.0663475503
829	0.06618446082
830	0.06606430483
831	0.06599563971
832	0.06584929486
833	0.0657440082
834	0.06567048649
835	0.06562407938
836	0.06546817906
837	0.06530068971
838	0.0652143721
839	0.06509635538
840	0.0649728634
841	0.06489199998
842	0.06462969268
843	0.06460057899
844	0.0645434849
845	0.06446339617
846	0.06433243754
847	0.06418926599
848	0.06407055418
849	0.0638867223
850	0.06379051924
851	0.06364828214
852	0.06345294664
853	0.06332805263
854	0.0632148353
855	0.06311083267
856	0.06297241767
857	0.06288652569
858	0.06280861522
859	0.06269855844
860	0.06265496373
861	0.06254433746
862	0.06243875968
863	0.0623351982
864	0.06226190984
865	0.06220456133
866	0.06215725288
867	0.06207119969
868	0.06199152132
869	0.06192752339
870	0.06172467748
871	0.06161043527
872	0.06152013843
873	0.06146996816
874	0.06133103338
875	0.06119859571
876	0.06114921155
877	0.06111041677
878	0.06096940197
879	0.06086957864
880	0.0608386338
881	0.06073432614
882	0.06055330778
883	0.06050434706
884	0.06034890791
885	0.06031366135
886	0.06019531471
887	0.06011626569
888	0.06007318988
889	0.05997442896
890	0.05990204252
891	0.05975935896
892	0.05971617671
893	0.05959862607
894	0.05946358095
895	0.05941119835
896	0.05934014097
897	0.059275975
898	0.05921191136
899	0.05909279483
900	0.05906949311
901	0.05897600522
902	0.05885824146
903	0.05870097923
904	0.05858298297
905	0.0585289405
906	0.05839884356
907	0.05833157075
908	0.05819897254
909	0.0581406938
910	0.05808432817
911	0.05804715703
912	0.05793529563
913	0.05790205789
914	0.05777317584
915	0.05767869783
916	0.05756279906
917	0.05747690859
918	0.05743193979
919	0.05738044644
920	0.05726389279
921	0.05716547137
922	0.05707637658
923	0.056937996
924	0.05684266391
925	0.05676707245
926	0.0566294418
927	0.0565744182
928	0.05651552546
929	0.05644909484
930	0.05637294451
931	0.05631557109
932	0.05613652512
933	0.05606604581
934	0.05593777552
935	0.05583939527
936	0.05569128503
937	0.05554851875
938	0.05545851847
939	0.05534806326
940	0.0553012724
941	0.05529051868
942	0.05520899996
943	0.055123289
944	0.05498700865
945	0.05486863934
946	0.05483258292
947	0.05478728967
948	0.05468103498
949	0.05462833847
950	0.05451302024
951	0.05441996507
952	0.05427899087
953	0.05422602348
954	0.05419140895
955	0.05410503184
956	0.05400836202
957	0.05393643044
958	0.05385133803
959	0.05376157328
960	0.05373274334
961	0.05370603258
962	0.0536408335
963	0.05361379921
964	0.05357389867
965	0.05350159342
966	0.05335696312
967	0.05323684158
968	0.05313351753
969	0.05302667392
970	0.05296480725
971	0.05293442873
972	0.05280893842
973	0.0527001636
974	0.05264088802
975	0.05257663459
976	0.05249913832
977	0.05238616953
978	0.05231829594
979	0.05225543347
980	0.05223413885
981	0.05214654319
982	0.05204102245
983	0.05196508517
984	0.05192868136
985	0.05190719311
986	0.05181951034
987	0.05164305404
988	0.05155715423
989	0.05147923142
990	0.0514419575
991	0.05135025904
992	0.05128915166
993	0.05123661856
994	0.05117794919
995	0.05107312116
996	0.05099815764
997	0.05090927951
998	0.05081918386
999	0.05076661304
